objectID,ra,dec,total_votes,imgID,morphology,edgeon,spiral
587722981748113567,198.3684844970703,-1.211204171180725,216,100,features,no,spiral
587736915139035236,213.4807281494141,12.72399616241455,137,100002,features,no,spiral
587736915139100839,213.6546630859375,12.705498695373535,150,100004,smooth,no,no
587736915139362956,214.21597290039065,12.585882186889648,198,100006,features,no,spiral
587736915139690695,215.09597778320312,12.463923454284668,151,100010,smooth,no,spiral
587736915139756205,215.1739044189453,12.601189613342283,224,100011,features,no,spiral
587736915139756286,215.29244995117188,12.567071914672852,316,100012,features,no,spiral
587736915139821575,215.32781982421875,12.505955696105955,132,100013,smooth,no,no
587736915140215033,216.35076904296875,12.421854972839355,256,100016,features,no,spiral
587736915140280472,216.3618927001953,12.374528884887695,161,100017,features,no,spiral
587736915140673625,217.325439453125,12.18930721282959,164,100022,smooth,no,no
587736915140739247,217.41958618164065,12.118915557861328,142,100026,smooth,no,no
587736915141066976,218.22805786132807,12.069686889648438,158,100030,features,no,spiral
587736915141460168,219.08517456054688,12.016327857971191,242,100040,features,no,spiral
587736915141525648,219.25173950195312,11.914823532104492,165,100041,features,no,spiral
587736915141525719,219.3228302001953,12.046563148498535,150,100042,features,no,spiral
587736915141656852,219.6629943847656,11.846282958984377,181,100043,features,no,spiral
587736915141918980,220.25125122070312,11.78183650970459,149,100049,features,no,no
587736915142050056,220.57066345214844,11.7083740234375,212,100052,features,no,spiral
587736915142181153,220.86932373046875,11.752872467041016,181,100054,features,no,spiral
587736915142246574,220.91848754882807,11.643784523010254,130,100055,smooth,no,no
587736915142377613,221.18875122070312,11.624464988708496,190,100057,features,no,spiral
587736915142377698,221.2997283935547,11.555254936218262,287,100058,features,no,spiral
587736915142508673,221.6153717041016,11.50734519958496,180,100059,smooth,no,no
587725552269066552,119.49788665771484,46.01336669921875,356,10006,features,no,spiral
587736915142574132,221.6936492919922,11.570196151733398,117,100062,smooth,no,no
587736915142574202,221.75042724609372,11.592020988464355,337,100064,features,no,spiral
587736915142574258,221.77633666992188,11.593802452087402,165,100066,smooth,no,no
587736915142770803,222.12088012695312,11.625602722167969,343,100080,features,no,spiral
587736915143032966,222.71897888183597,11.52039909362793,159,100084,smooth,no,no
587736915143164204,223.1402740478516,11.33968734741211,138,100088,smooth,no,no
587736915143360680,223.49989318847656,11.233917236328123,136,100091,smooth,no,no
587736915143426202,223.63905334472656,11.308615684509276,140,100092,smooth,no,no
587736915143753884,224.35716247558597,11.093422889709473,210,100094,features,no,spiral
587736915143950548,224.8691864013672,11.071602821350098,183,100095,features,no,no
587736915144016188,225.0335235595703,11.022017478942873,265,100101,features,no,spiral
587736915144147107,225.27947998046875,10.972821235656738,171,100102,features,no,no
587736915144147172,225.3492584228516,10.972601890563965,306,100103,features,no,spiral
587736915144278194,225.6288604736328,10.937545776367188,189,100104,features,no,spiral
587736915144278218,225.6596527099609,10.944406509399414,288,100106,features,no,spiral
587736915144474820,226.0313262939453,10.843730926513672,149,100109,features,yes,no
587736915144736828,226.65757751464844,10.715624809265137,141,100113,features,no,spiral
587736915144737067,226.7254943847656,10.705262184143066,174,100115,smooth,no,spiral
587736915144867903,226.97216796875,10.785784721374512,309,100117,features,no,spiral
587736915144933683,227.1962432861328,10.69900608062744,186,100119,features,no,spiral
587736915145195785,227.76483154296875,10.540898323059082,396,100120,features,no,spiral
587736915145195809,227.78538513183597,10.537009239196776,292,100122,features,no,spiral
587736915145326874,228.1024932861328,10.487634658813477,283,100125,features,no,spiral
587736915145392244,228.2310791015625,10.450675964355469,155,100126,features,no,spiral
587736915145458029,228.39649963378903,10.515029907226562,344,100127,features,no,spiral
587725552269328753,120.0840835571289,46.45554733276367,239,10013,features,no,spiral
587736915145785693,229.12579345703125,10.333507537841797,300,100132,features,no,spiral
587736915145851106,229.1803436279297,10.313146591186523,217,100134,features,no,spiral
587736915145982237,229.5800018310547,10.24685764312744,133,100136,smooth,no,no
587736915146113279,229.8314208984375,10.233769416809082,162,100137,features,no,spiral
587736915146244337,230.0946350097656,10.218907356262209,135,100139,features,no,spiral
587736915146637710,231.02670288085935,9.912090301513672,295,100141,features,no,spiral
587736915146703138,231.1465301513672,10.015067100524902,214,100143,features,no,spiral
